"384,30344,6\n"
"384,13851,4\n"
"384,5667,5\n"
"384,27899,7\n"
"384,6211,7\n"
"384,10511,5\n"
"384,27,4\n"
"384,32673,8\n"
"384,30901,5\n"
"384,19023,3\n"
"384,35968,0\n"
"384,156,5\n"
"384,18497,5\n"
"384,878,5\n"
"384,11319,5\n"
"384,3712,5\n"
"384,5300,9\n"
"385,31646,8\n"
"385,50475,5\n"
"385,34881,5\n"
"385,31964,8\n"
"385,49918,9\n"
"385,50532,7\n"
"385,33929,6\n"
"385,1575,10\n"
"385,2904,10\n"
"385,1535,10\n"
"385,2994,7\n"
"385,30191,7\n"
"385,31552,6\n"
"385,38671,8\n"
"385,40956,8\n"
"385,41025,8\n"
"385,665,7\n"
"385,52593,4\n"
"385,9366,7\n"
"385,50339,6\n"
"385,42963,6\n"
"385,52289,5\n"
"385,52562,6\n"
"385,19669,7\n"
"385,37510,10\n"
"385,36616,7\n"
"385,40031,6\n"
"385,28149,6\n"
"385,32468,5\n"
"385,31980,3\n"
"385,4155,9\n"
"385,2107,7\n"
"385,2385,7\n"
"385,20931,5\n"
"385,42351,7\n"
"385,42091,7\n"
"385,48583,10\n"
"385,36688,5\n"
"385,3588,9\n"
"385,38610,4\n"
"385,44931,8\n"
"385,34902,7\n"
"385,56949,9\n"
"385,38349,8\n"
"385,18753,7\n"
"385,30813,5\n"
"386,40148,6\n"
"386,31646,8\n"
"386,36793,3\n"
"386,39783,6\n"
"386,25397,6\n"
"386,2554,5\n"
"386,33839,0\n"
"386,2546,6\n"
"386,30056,0\n"
"386,37206,6\n"
"386,24921,0\n"
"386,40532,6\n"
"386,7647,6\n"
"386,66,9\n"
"386,21185,8\n"
"386,2131,0\n"
"386,38186,7\n"
"386,31478,7\n"
"386,33071,0\n"
"386,33475,6\n"
"386,2684,5\n"
"386,2800,4\n"
"386,33728,0\n"
"386,33729,0\n"
"386,1069,7\n"
"386,1723,0\n"
"386,4059,0\n"
"386,2904,9\n"
"386,2124,0\n"
"386,20031,8\n"
"386,12893,0\n"
"386,2748,7\n"
"386,15583,7\n"
"386,36633,4\n"
"386,34513,0\n"
"386,24031,7\n"
"386,7456,0\n"
"386,29413,0\n"
"386,2520,0\n"
"386,40526,5\n"
"386,37347,7\n"
"386,40454,6\n"
"386,37348,0\n"
"386,9545,0\n"
"386,10779,0\n"
"386,36245,2\n"
"386,39811,5\n"
"386,25537,0\n"
"386,31376,8\n"
"386,41025,8\n"
"386,21821,4\n"
"386,17651,7\n"
"386,21273,7\n"
"386,38337,7\n"
"386,28791,5\n"
"386,40262,0\n"
"386,38883,8\n"
"386,9289,7\n"
"386,38733,0\n"
"386,27829,5\n"
"386,9322,0\n"
"386,31665,0\n"
"386,1852,8\n"
"386,6372,0\n"
"386,32215,0\n"
"386,13357,0\n"
"386,34834,5\n"
"386,6337,0\n"
"386,20431,7\n"
"386,5210,0\n"
"386,139,0\n"
"386,15377,6\n"
"386,10804,0\n"
"386,11013,6\n"
"386,34542,6\n"
"386,37210,5\n"
"386,40010,7\n"
"386,21327,6\n"
"386,45587,3\n"
"386,31405,5\n"
"386,15591,0\n"
"386,36754,6\n"
"386,10805,0\n"
"386,11507,0\n"
"386,24451,0\n"
"386,37447,6\n"
"386,145,7\n"
"386,16035,5\n"
"386,1691,6\n"
"386,36407,6\n"
"386,18679,10\n"
"386,1087,6\n"
"386,17741,4\n"
"386,31798,7\n"
"386,5678,6\n"
"386,11887,8\n"
"386,467,6\n"
"386,28623,6\n"
"386,38301,5\n"
"386,19669,0\n"
"386,7148,6\n"
"386,33489,8\n"
"386,23321,8\n"
"386,21853,0\n"
"386,2034,5\n"
"386,1412,6\n"
"386,21415,0\n"
"386,17725,0\n"
"386,2038,6\n"
"386,33003,5\n"
"386,5028,8\n"
"386,12449,0\n"
"386,9712,6\n"
"386,10110,7\n"
"386,21603,6\n"
"386,14511,7\n"
"386,21427,6\n"
"386,9396,0\n"
"386,17637,0\n"
"386,37510,7\n"
"386,3001,7\n"
"386,11021,6\n"
"386,23755,7\n"
"386,936,0\n"
"386,8246,0\n"
"386,10589,0\n"
"386,34591,7\n"
"386,33690,5\n"
"386,36043,0\n"
"386,1210,6\n"
"386,40529,6\n"
"386,24135,7\n"
"386,32829,7\n"
"386,32547,0\n"
"386,6512,5\n"
"386,32625,0\n"
"386,31980,0\n"
"386,12859,0\n"
"386,1094,0\n"
"386,34392,3\n"
"386,524,0\n"
"386,9308,0\n"
"386,32729,6\n"
"386,34136,0\n"
"386,19221,6\n"
"386,33949,0\n"
"386,36027,1\n"
"386,35073,8\n"
"386,33372,0\n"
"386,10588,8\n"
"386,36023,5\n"
"386,40436,3\n"
"386,33447,6\n"
"386,36652,8\n"
"386,33091,8\n"
"386,3292,0\n"
"386,35240,6\n"
"386,23281,7\n"
"386,21339,0\n"
"386,18413,0\n"
"386,37202,6\n"
"386,25859,7\n"
"386,18525,0\n"
"386,5568,0\n"
"386,36513,7\n"
"386,1719,0\n"
"386,3171,0\n"
"386,5455,0\n"
"386,30187,7\n"
"386,3328,0\n"
"386,846,6\n"
"386,33836,6\n"
"386,41372,6\n"
"386,339,6\n"
"386,18119,8\n"
"386,36316,5\n"
"386,31,0\n"
"386,7396,0\n"
"386,2942,7\n"
"386,1861,0\n"
"386,6802,7\n"
"386,6885,0\n"
"386,23209,8\n"
